,Latitude,Longitude,MedInc
14301,32.72,-117.14,2.0529
6626,34.18,-118.14,3.3068
3298,38.96,-122.63,1.75
19807,36.66,-118.96,3.1964
16993,37.56,-122.27,5.6936
5736,34.15,-118.23,5.3369
10855,33.68,-117.89,3.3409
5020,33.99,-118.32,1.9779
8239,33.77,-118.18,1.1483
11982,33.98,-117.47,4.9886
17189,37.32,-122.27,5.3951
8126,33.81,-118.18,1.75
14128,32.75,-117.09,1.2286
17777,37.38,-121.85,5.2415
12914,38.61,-121.32,2.774
16257,37.97,-121.25,1.7895
11135,33.84,-117.93,3.2301
13987,34.88,-117.13,2.3373
7711,33.95,-118.14,3.6635
18591,36.97,-122.13,4.7188
6529,34.06,-118.06,2.5763
483,37.86,-122.27,2.6914
3846,34.19,-118.47,5.0929
12826,38.71,-121.44,3.5129
1315,37.99,-121.79,5.7321
7222,34.02,-118.17,2.45
14016,32.75,-117.16,2.9705
4226,34.1,-118.29,2.9417
9279,38.11,-122.6,5.3962
1576,37.81,-121.99,4.9018
11301,33.78,-117.91,3.045
16519,37.8,-121.21,1.4853
16394,38.03,-121.25,6.6605
5290,34.05,-118.49,7.0285
10353,33.63,-117.67,4.4063
11471,33.67,-118.0,4.8125
11886,33.99,-117.37,1.685
1989,36.73,-119.79,1.975
16457,38.13,-121.29,5.0
8063,33.83,-118.19,6.4468
17321,34.61,-120.16,3.0185
9547,37.4,-120.84,2.6214
14628,32.76,-117.18,2.6493
15518,33.14,-117.08,3.5462
121,37.85,-122.24,4.9643
2609,40.89,-124.01,2.4559
19782,40.77,-122.96,3.2891
7626,33.86,-118.27,3.7466
9798,36.55,-121.91,5.7248
953,37.71,-121.96,7.2494
4462,34.1,-118.18,4.9231
10989,33.73,-117.81,3.5719
8292,33.77,-118.15,3.5292
17093,37.48,-122.23,2.7969
19034,38.37,-121.98,2.8438
1270,37.96,-121.7,3.2813
12189,33.67,-117.33,1.9194
1691,38.01,-122.24,6.0102
17910,37.36,-121.98,4.5625
12645,38.52,-121.47,1.2575
10752,33.61,-117.89,5.0
11009,33.79,-117.76,8.2653
15877,37.75,-122.41,4.2891
7163,34.04,-118.17,3.5938
2974,35.33,-119.1,6.759
13153,36.88,-121.6,4.7813
19947,36.21,-119.35,1.6378
4755,34.04,-118.33,3.6373
11231,33.82,-117.95,4.3269
17130,37.47,-122.15,3.0521
1208,39.48,-121.79,3.3929
17395,34.96,-120.44,2.9167
5518,33.97,-118.39,6.235
15742,37.78,-122.42,2.1516
14494,32.85,-117.2,4.7891
11090,33.82,-117.89,5.0605
1090,39.72,-121.82,1.5064
3120,35.54,-117.84,5.0762
11200,33.83,-117.91,1.119
5359,34.05,-118.39,4.0153
14848,32.68,-117.08,1.324
1533,37.9,-122.05,4.6528
13688,34.15,-117.2,7.732
1411,37.93,-122.08,5.0761
12845,38.68,-121.38,4.0673
2614,40.95,-124.16,3.1406
2636,40.59,-124.15,2.0938
5437,34.01,-118.43,6.4232
6091,34.1,-117.84,3.8465
2664,40.05,-123.78,2.1864
9630,37.26,-121.0,1.7062
10753,33.61,-117.89,5.1923
10223,33.88,-117.89,5.7519
14989,32.73,-117.02,4.7952
11427,33.69,-117.99,3.7479
14545,32.95,-117.26,5.8343
20505,34.29,-118.72,6.0368
17120,37.47,-122.14,3.7917
13111,38.39,-121.37,6.2575
8819,34.09,-118.34,2.4432
4999,33.99,-118.28,2.5848
15262,33.03,-117.27,4.87
13942,34.28,-117.17,7.1997
5018,34.0,-118.33,0.9304
1767,37.95,-122.34,2.875
13155,36.86,-121.45,3.1375
8608,33.87,-118.37,3.5048
5227,33.93,-118.25,1.1346
15382,33.39,-117.14,3.8547
16972,37.56,-122.31,4.2955
7536,33.92,-118.22,2.1366
17122,37.47,-122.13,5.0893
5195,33.92,-118.27,1.7262
19179,38.43,-122.68,6.0774
5183,33.94,-118.26,1.65
20564,38.72,-121.71,2.8882
13242,34.12,-117.66,8.8204
18562,37.0,-122.04,2.9712
4449,34.07,-118.21,2.3859
1002,37.69,-121.78,3.3618
9233,37.02,-120.06,3.5258
15079,32.81,-116.97,2.1422
15402,33.22,-117.22,1.9571
17056,37.48,-122.25,7.1621
5129,33.98,-118.27,1.3042
18265,37.37,-122.07,4.8021
15692,37.79,-122.44,8.0755
19325,38.53,-122.94,3.7143
6039,34.07,-117.73,2.2596
17517,37.33,-121.94,4.3
2146,36.77,-119.77,2.0564
10863,33.71,-117.88,4.1
2662,40.12,-123.82,2.087
9409,37.89,-122.53,5.9073
18076,37.28,-122.03,9.8937
3194,36.32,-119.7,2.6477
12340,33.85,-116.53,2.9647
2953,35.35,-119.02,1.983
16056,37.76,-122.49,3.5302
13077,38.58,-121.3,2.8966
4245,34.13,-118.32,4.0833
2310,36.91,-119.77,5.3272
9278,38.11,-122.6,3.8068
8229,33.77,-118.2,1.2864
11226,33.81,-117.94,4.5714
15589,32.97,-116.67,5.359
3795,34.16,-118.36,2.4835
11570,33.77,-118.01,5.8362
1280,38.01,-121.8,2.2532
7920,33.86,-118.07,3.425
11251,33.82,-117.99,2.8625
12461,38.58,-121.43,3.9167
7801,33.9,-118.09,3.1441
16665,35.28,-120.7,4.6071
4903,34.01,-118.25,1.4464
8439,33.93,-118.36,3.0132
5022,33.99,-118.33,3.2083
8161,33.82,-118.13,5.1795
222,37.8,-122.2,4.9559
3545,34.24,-118.63,4.8333
9498,39.17,-123.73,2.375
2442,36.57,-119.61,1.5833
14297,32.72,-117.14,2.2804
15376,33.37,-117.25,1.995
1972,38.75,-120.54,3.9812
1570,37.84,-122.02,7.7072
2281,36.79,-119.79,1.5122
15713,37.78,-122.44,2.8569
2021,36.7,-119.81,1.2404
18835,41.74,-122.64,3.3095
7760,33.91,-118.14,3.0465
17444,34.52,-120.39,2.5667
19266,38.44,-122.72,0.9437
2556,40.75,-124.17,4.8516
10347,33.61,-117.66,7.1497
9989,39.15,-121.07,2.4726
3344,38.7,-122.52,0.536
902,37.53,-121.98,4.6
8143,33.83,-118.11,4.918
181,37.8,-122.23,1.9375
10265,33.9,-117.85,5.2037
9367,37.94,-122.53,4.7344
1853,41.77,-124.21,2.5795
4788,34.02,-118.32,2.0304
7068,33.95,-118.02,4.6184
19977,35.82,-118.7,2.3937
14383,32.74,-117.24,4.0268
5553,33.95,-118.37,3.111
1458,37.97,-121.98,5.9617
18670,36.98,-121.88,4.8953
15150,32.92,-116.84,3.1607
6209,34.07,-117.89,3.9808
19571,37.59,-120.94,2.3152
1926,38.9,-120.3,0.9227
5846,34.17,-118.3,3.0687
7726,33.92,-118.12,2.5893
18833,41.69,-122.56,2.4107
3656,34.22,-118.4,3.6442
15805,37.76,-122.45,5.6235
11798,38.92,-121.22,4.4958
7472,33.93,-118.21,1.9668
15471,33.15,-117.2,3.0139
12825,38.72,-121.47,4.0227
18825,41.86,-122.33,2.234
5784,34.15,-118.25,3.6875
16411,37.93,-121.22,4.75
11264,33.8,-117.98,5.4876
12786,38.63,-121.44,1.3462
4436,34.08,-118.21,1.9495
8455,33.91,-118.35,4.3187
15194,32.99,-117.01,8.4284
7336,33.98,-118.15,2.3
8196,33.79,-118.13,3.7716
17274,34.41,-119.7,2.8042
3999,34.17,-118.62,6.8482
8147,33.83,-118.1,5.3735
8542,33.88,-118.36,2.65
6508,34.07,-118.07,3.125
2086,36.76,-119.79,1.175
19953,36.22,-119.33,3.5039
19744,40.2,-122.38,2.8447
6501,34.08,-118.05,2.0433
2589,40.88,-124.1,2.0657
16797,37.66,-122.44,3.1927
18980,38.25,-122.0,4.9222
18858,41.5,-121.76,1.0667
16981,37.56,-122.29,5.3683
4528,34.04,-118.22,1.4189
4254,34.1,-118.35,2.6458
19083,38.32,-122.48,3.1129
20295,34.16,-119.19,3.9722
12387,33.72,-116.37,3.0021
8615,33.87,-118.38,5.7415
4229,34.11,-118.29,12.9591
20278,34.19,-119.2,5.0016
884,37.54,-121.97,4.6349
1039,38.42,-120.97,4.3029
15236,32.95,-117.26,5.6582
5135,33.97,-118.26,1.55
12397,33.68,-116.3,2.8882
2445,36.56,-119.64,2.0658
5921,34.15,-117.71,7.9068
18262,37.37,-122.09,6.8374
17497,34.43,-119.8,5.6604
16785,37.67,-122.45,4.4286
18619,37.01,-122.02,10.0968
13595,34.09,-117.29,1.1806
2095,36.75,-119.76,2.19
3857,34.17,-118.43,4.4464
19312,38.44,-122.86,3.4471
14511,32.91,-117.15,4.9464
3477,34.3,-118.51,7.5078
1010,37.68,-121.73,5.4496
10982,33.75,-117.83,4.9957
14718,32.79,-117.06,9.6023
18167,37.35,-122.03,3.5154
6075,34.08,-117.87,5.6015
11214,33.82,-117.91,3.7014
7414,33.95,-118.23,2.2391
934,37.53,-122.04,3.9667
10175,33.86,-117.97,3.6006
11274,33.78,-117.99,3.1049
18929,38.05,-122.14,3.2891
1343,38.01,-121.89,4.0972
12457,33.63,-114.58,3.3438
359,37.76,-122.14,5.5701
6165,34.07,-117.95,4.1172
19261,38.44,-122.74,2.6576
959,37.7,-121.93,4.4087
19867,36.34,-119.34,4.0144
1148,39.52,-121.36,2.3917
2954,35.35,-119.01,1.9125
2051,36.71,-119.72,3.0179
18324,37.44,-122.13,5.9277
2054,36.69,-119.69,2.1563
9006,34.11,-118.59,6.4504
7284,33.98,-118.24,2.125
5537,33.96,-118.43,8.7819
14371,32.71,-117.24,6.6661
19462,37.68,-120.99,2.6932
15052,32.8,-116.86,4.875
15218,32.96,-117.12,6.0175
8892,34.02,-118.5,2.9934
14550,32.94,-117.24,5.2648
19000,38.35,-121.94,4.412
7302,33.99,-118.19,3.3869
11369,33.71,-117.98,4.4766
17818,37.4,-121.9,3.7622
16144,37.78,-122.47,4.0652
18606,37.15,-122.13,3.9423
10873,33.73,-117.9,3.2639
15705,37.79,-122.42,2.6607
3608,34.23,-118.46,3.0187
11175,33.82,-117.97,3.7655
5446,34.0,-118.44,4.1083
4894,34.02,-118.24,1.8485
20477,34.28,-118.74,5.9024
7696,33.95,-118.12,5.752000000000001
17951,37.34,-121.96,3.4375
8999,34.0,-118.33,4.2917
7510,33.89,-118.27,4.4659
6586,34.22,-118.22,7.0059
17238,34.44,-119.67,5.2888
5474,33.99,-118.46,4.0598
8451,33.91,-118.35,4.0775
19475,37.67,-120.96,2.9219
2394,37.09,-119.4,3.3269
9653,36.99,-120.7,2.9271
8730,33.84,-118.31,3.625
6874,34.07,-118.1,2.5964
13581,34.12,-117.28,1.3571
13753,34.05,-117.17,4.2059
20241,34.27,-119.24,3.2792
6733,34.12,-118.09,7.8347
5163,33.96,-118.29,1.5294
7409,33.96,-118.22,2.8
13662,34.03,-117.32,3.9024
9317,37.99,-122.49,6.994
3537,34.26,-118.52,3.7816
14354,32.75,-117.23,3.1389
14239,32.7,-117.09,1.4583
2746,32.78,-115.57,4.0375
102,37.81,-122.25,3.125
15792,37.77,-122.42,1.375
1661,37.93,-121.94,7.5695
7528,33.91,-118.23,2.1734
9375,37.92,-122.5,6.1632
13896,34.15,-116.33,1.5489
15189,33.03,-117.05,4.3571
12783,38.64,-121.44,1.0398
9626,37.23,-120.25,2.1845
7596,33.89,-118.25,2.4537
1694,38.0,-122.26,5.2375
14666,32.8,-117.13,3.9732
10202,33.87,-117.92,2.1991
17235,34.47,-119.67,4.9757
518,37.82,-122.24,6.155
9977,38.54,-122.48,4.2096
7289,33.98,-118.22,2.5352
12343,33.85,-116.52,3.4886
14070,32.76,-117.12,2.3594
2358,36.79,-119.63,4.526
17677,37.33,-121.85,2.8024
937,37.54,-122.03,4.8214
12407,33.72,-116.29,3.1771
13911,34.21,-116.22,2.2083
7603,33.88,-118.24,2.4821
18459,37.27,-121.8,6.223
2134,36.8,-119.71,3.0
9495,39.34,-123.81,3.1563
8124,33.79,-118.17,1.55
14480,32.82,-117.25,7.8013
9561,37.36,-120.63,4.0694
10317,33.84,-117.82,10.1299
3119,35.73,-117.87,4.1518
14654,32.8,-117.14,3.9417
20074,38.13,-120.26,4.0583
1210,38.12,-120.55,2.5
8332,33.93,-118.3,3.2024
1085,39.73,-121.83,2.0064
19596,37.6,-120.92,3.7611
9579,37.37,-120.5,2.4012
5995,34.09,-117.73,2.4375
9827,36.62,-121.92,2.5263
20243,34.26,-119.25,2.67
11548,33.73,-118.02,5.5599
16250,37.97,-121.27,1.1141
11029,33.79,-117.83,2.9312
7665,33.93,-118.07,4.125
3379,34.25,-118.27,5.0234
1318,37.99,-121.77,5.4409
1769,37.95,-122.34,3.2833
12214,33.49,-117.12,3.9963
14326,32.71,-117.16,1.0918
6867,34.06,-118.12,3.1892
18040,37.23,-121.97,4.6065
3562,34.25,-118.58,5.521
130,37.84,-122.21,7.0548
14474,32.85,-117.23,6.3955
14335,32.73,-117.17,1.815
17705,37.31,-121.81,3.1382
14760,32.56,-117.06,1.7301
13355,34.02,-117.6,5.2849
14074,32.76,-117.12,2.0673
1825,37.93,-122.32,2.675
12439,33.67,-116.18,2.2141
17352,34.89,-120.42,5.0099
4991,33.99,-118.31,2.0915
7542,33.9,-118.21,2.0817
5023,33.99,-118.34,4.8125
18572,36.91,-121.75,1.6875
4706,34.06,-118.34,3.7167
9138,34.52,-118.22,6.5538
6292,34.0,-117.88,3.6308
2216,36.83,-119.84,6.8645
2995,35.32,-119.05,3.4827
16139,37.78,-122.46,3.4605
5748,34.16,-118.27,2.9148
10368,33.64,-117.66,6.7079
15076,32.81,-116.99,4.2386
18204,37.38,-122.05,4.072
9619,37.35,-120.43,5.9378
5960,34.11,-117.83,4.9844
6132,34.07,-117.98,2.9107
3940,34.21,-118.59,5.0462
18465,37.16,-121.72,4.7386
17986,37.3,-121.96,4.3081
19501,37.66,-121.03,2.1528
14630,32.77,-117.18,3.4
8839,34.08,-118.39,3.5114
3223,36.32,-119.68,2.5833
7535,33.92,-118.23,1.6437
7591,33.9,-118.24,2.375
14918,32.61,-117.03,5.1538
449,37.87,-122.28,2.8676
2264,36.78,-119.81,3.0
16949,37.53,-122.33,6.7042
13218,34.0,-117.68,5.7338
7327,33.97,-118.17,2.4049
8153,33.81,-118.11,3.9722
11262,33.79,-117.99,3.1801
9113,34.56,-118.21,4.7097
535,37.78,-122.27,5.2601
7827,33.91,-118.14,3.0703
9593,37.33,-120.46,6.3215
1836,37.9,-122.3,3.4091
5407,34.03,-118.45,3.3482
8440,33.91,-118.36,3.8
8726,33.83,-118.37,4.7308
12931,38.64,-121.24,5.259
15427,33.21,-117.25,2.066
1890,38.93,-120.01,2.9960000000000004
16474,38.14,-121.25,2.3
6734,34.12,-118.1,6.3013
1688,37.98,-122.27,6.0289
7476,33.93,-118.2,2.5185
9842,36.6,-121.9,2.8727
4614,34.08,-118.29,1.925
12833,38.69,-121.41,3.6429
14158,32.76,-117.08,3.0833
2449,36.52,-119.54,4.2045
19379,37.77,-120.87,3.5959
14475,32.86,-117.21,6.5382
15405,33.23,-117.24,3.4359
454,37.88,-122.26,2.944
18408,37.27,-121.8,5.0772
18813,41.12,-121.47,2.83
13747,34.07,-117.14,5.5875
3852,34.17,-118.44,3.8081
182,37.8,-122.23,1.9028
18615,37.04,-122.08,4.1161
19812,36.32,-118.94,4.0703
17669,37.31,-121.86,2.2259
14910,32.61,-117.05,3.5096
20070,37.99,-120.35,2.4191
99,37.82,-122.26,2.6104
4978,34.0,-118.29,1.2347
17000,37.56,-122.26,5.6683
10768,33.66,-117.88,3.5426
5749,34.16,-118.27,3.6587
2764,32.74,-116.0,1.4338
833,37.6,-122.02,3.5
1707,37.94,-122.31,3.8343
254,37.77,-122.2,2.4338
12610,38.54,-121.51,3.9792
6628,34.18,-118.15,2.3029
1302,38.0,-121.85,4.2647
6958,34.0,-118.06,3.9243
20422,34.14,-118.9,5.1457
10778,33.65,-117.9,3.4125
11825,38.99,-120.98,3.6354
17499,34.44,-119.78,4.835
4819,34.05,-118.3,2.4297
3930,34.21,-118.58,3.0187
9445,37.49,-119.9,3.0
933,37.55,-122.05,5.1321
4739,34.05,-118.38,3.238
20522,38.54,-121.54,3.0536
18014,37.27,-121.96,5.2533
20026,36.06,-119.05,3.1625
20413,34.18,-118.87,3.4676
2009,36.72,-119.82,1.6435
12292,33.93,-116.98,2.1581
19230,38.47,-122.66,3.7617
2874,35.37,-118.96,1.365
17008,37.54,-122.29,4.9464
1037,38.44,-120.69,4.2917
2704,32.83,-115.57,3.5282
20486,34.28,-118.68,5.0962
12385,33.71,-116.38,4.5556
13418,34.05,-117.49,3.9464
9717,36.85,-121.79,2.7321
15327,33.19,-117.34,5.7409
6703,34.14,-118.13,3.4531
19925,36.32,-119.32,4.3816
18779,40.4,-122.23,3.0556
10322,33.87,-117.76,7.0592
9755,36.52,-121.69,8.0922
15040,32.78,-116.95,3.3906
11335,33.75,-117.95,5.1416
12116,33.96,-117.23,5.252999999999999
10285,33.9,-117.84,7.0352
11853,39.8,-120.45,1.7829
12506,38.56,-121.43,2.5417
1540,37.86,-122.03,6.112
15574,33.0,-116.78,5.5102
2697,32.82,-115.37,3.5735
2286,36.79,-119.76,3.3281
5458,34.0,-118.46,2.3542
10300,33.93,-117.83,6.5841
10393,33.59,-117.65,8.0409
14624,32.77,-117.17,3.767
16054,37.76,-122.48,4.4094
6534,34.05,-118.04,2.6579
7451,33.94,-118.17,4.6389
9325,37.96,-122.52,5.2818
16254,37.98,-121.26,0.9782
9128,34.56,-118.07,4.2329
8878,34.04,-118.5,15.0001
12633,38.49,-121.49,2.735
11656,33.84,-118.03,4.0156
9058,34.69,-118.14,3.4327
9025,34.05,-118.74,7.9184
1333,38.0,-121.86,3.5857
11230,33.82,-117.95,4.0735
17948,37.34,-121.96,4.4453
12416,33.73,-116.22,2.1217
9708,36.67,-121.65,1.9385
1984,38.69,-120.85,3.4872
16772,37.69,-122.48,4.4821
2435,36.57,-119.59,3.5987
18537,36.98,-122.0,4.3
16161,37.78,-122.49,4.2414
12165,33.78,-117.06,2.5847
16581,37.76,-121.43,3.6312
16004,37.75,-122.46,6.5372
8256,33.77,-118.17,2.1378
17703,37.31,-121.82,3.7102
18114,37.31,-122.02,5.9714
3920,34.2,-118.56,4.175
15010,32.75,-117.03,3.0897
10269,33.86,-117.87,3.1534
10543,33.68,-117.7,2.8192
5198,33.94,-118.27,1.1468
13316,34.07,-117.62,2.5677
16740,37.7,-122.43,4.7708
2813,35.42,-119.04,1.8403
19147,38.35,-122.69,7.226
536,37.79,-122.28,2.5444
18245,37.39,-122.08,3.2083
1139,39.74,-121.57,2.4623
19241,38.54,-122.75,5.4886
4116,34.13,-118.42,12.7823
18201,37.39,-122.02,4.7431
11323,33.76,-117.97,4.7464
15232,33.02,-117.21,10.156
16933,37.57,-122.33,3.625
13573,34.14,-117.29,2.5417
617,37.73,-122.15,4.9135
19178,38.42,-122.66,4.023
1310,37.99,-121.84,3.3625
16122,37.78,-122.46,3.7887
15548,33.12,-117.09,2.5284
3251,36.02,-119.8,3.05
3547,34.26,-118.6,5.6392
5975,34.1,-117.77,2.8818
14726,32.8,-117.01,3.7159
7575,33.88,-118.21,3.4485
16439,38.14,-121.29,3.875
14058,32.74,-117.13,3.6852
14974,32.72,-117.01,2.3068
15569,33.06,-116.93,4.8836
2209,36.81,-119.85,3.755
10802,33.6,-117.96,5.2333
7199,34.03,-118.18,2.0764
1121,39.79,-121.58,2.7863
2656,40.28,-124.25,1.9417
3478,34.28,-118.51,6.3911
14799,32.58,-117.11,2.4213
20057,35.89,-119.27,1.7572
13294,34.08,-117.64,3.3958
14998,32.73,-117.05,3.5529
17004,37.54,-122.28,3.9699
11342,33.76,-117.93,3.3710000000000004
20627,39.13,-121.32,3.0
3526,34.27,-118.51,4.1042
17714,37.34,-121.79,4.9318
1835,37.9,-122.3,2.9219
5833,34.2,-118.32,3.9866
15428,33.21,-117.24,2.1875
8528,33.89,-118.34,5.372999999999999
1042,38.32,-120.88,3.2589
11216,33.81,-117.92,5.6047
18627,37.1,-121.96,6.3617
982,37.66,-121.85,5.6399
6549,34.05,-118.02,3.0625
12443,33.54,-115.22,1.625
16263,37.95,-121.26,1.725
2596,40.91,-124.08,1.6667
8885,34.03,-118.5,6.48
4488,34.05,-118.2,2.0885
19779,39.91,-122.19,1.8571
377,37.75,-122.16,3.8047
357,37.76,-122.15,6.0749
13475,34.09,-117.4,4.4034
12774,38.61,-121.44,1.8792
18187,37.38,-122.02,4.0911
6384,34.16,-118.05,3.5694
14071,32.76,-117.12,2.4821
6790,34.1,-118.15,3.1211
7720,33.94,-118.11,4.4375
10899,33.74,-117.84,3.3611
2234,36.85,-119.79,1.9511
19248,38.47,-122.74,3.0714
7882,33.88,-118.12,3.0795
19961,36.18,-119.27,2.6098
19728,38.9,-121.52,2.9048
6225,34.05,-117.93,4.2926
4352,34.1,-118.37,15.0001
14517,32.91,-117.13,3.6111
19013,38.36,-122.01,7.1053
14627,32.76,-117.18,3.6492
6270,34.04,-117.94,3.8864
13936,34.24,-117.28,5.2185
5186,33.93,-118.26,1.4917
13610,34.14,-117.27,4.4435
2718,32.8,-115.57,1.875
16677,35.13,-120.66,1.9653
1256,39.3,-121.96,2.1845
2640,40.59,-124.05,3.4408
4318,34.09,-118.34,3.2946
19610,37.48,-121.14,3.7045
6244,34.05,-117.99,3.7917
2652,40.45,-124.03,2.6094
13079,38.55,-121.34,4.1447
6954,33.98,-118.06,4.2206
5034,33.98,-118.33,1.8472
17835,37.41,-121.86,7.3861
5554,33.96,-118.4,4.1852
1336,37.99,-121.88,5.5676
113,37.83,-122.25,3.1484
20067,37.98,-120.4,2.6696
10604,33.67,-117.81,7.2025
9507,39.07,-123.21,3.7833
6119,34.13,-117.92,2.8643
7375,33.97,-118.22,2.881
14402,32.79,-117.25,1.8365
4286,34.1,-118.32,2.2311
12238,33.73,-116.94,3.7175
18264,37.38,-122.08,3.3917
11607,33.8,-118.01,5.32
17977,37.31,-121.97,3.9187
9403,37.88,-122.53,6.8742
5849,34.19,-118.31,2.0875
9153,34.44,-118.53,6.0398
380,37.74,-122.16,4.0417
5525,33.97,-118.37,3.3889
14554,32.96,-117.14,6.3721
16909,37.57,-122.36,10.7339
11467,33.66,-117.99,3.0625
16670,35.24,-120.52,5.0267
135,37.83,-122.2,8.401
9681,37.64,-118.97,3.0921
7267,33.98,-118.22,2.4387
17495,34.44,-119.8,5.0294
17221,34.45,-119.71,5.5922
12284,33.9,-116.81,1.3286
17843,37.43,-121.87,6.2892
4745,34.05,-118.35,2.8841
12400,33.66,-116.31,3.6354
5500,33.99,-118.42,3.725
6491,34.08,-118.0,3.994
18374,37.23,-121.86,5.8904
20261,34.21,-119.18,4.3897
2087,36.75,-119.79,1.0
18125,37.33,-122.03,7.4863
13317,34.07,-117.64,2.2765
10791,33.62,-117.92,5.2416
3997,34.17,-118.61,3.8819
10117,33.93,-117.93,3.7933
5019,33.99,-118.32,2.5909
7998,33.85,-118.16,4.0815
12377,33.73,-116.31,3.2846
3288,39.04,-122.73,1.9833
9742,36.81,-121.6,5.2203
425,37.88,-122.27,4.2813
16667,35.26,-120.68,3.2464
17624,37.26,-121.95,5.2
5980,34.1,-117.74,2.6779
4693,34.07,-118.37,4.25
11208,33.83,-117.91,2.5509
17046,37.48,-122.26,5.6038
8710,33.85,-118.35,5.6426
5245,34.09,-118.43,7.9835
7930,33.84,-118.08,3.3438
7900,33.87,-118.03,5.93
13677,34.06,-117.25,3.0042
8373,33.96,-118.35,1.2094
8406,33.94,-118.36,3.4063
17610,37.29,-121.91,5.6266
3214,36.34,-119.64,1.8606
29,37.84,-122.28,1.6875
1833,37.91,-122.3,2.9441
3658,34.21,-118.41,4.0167
15012,32.76,-117.04,3.141
8956,34.01,-118.38,4.7612
17539,37.35,-121.89,2.0549
20054,35.87,-119.3,2.1434
16203,37.94,-121.28,1.7039
14710,32.78,-117.07,4.7143
13588,34.12,-117.29,1.8438
3162,35.23,-118.82,1.9688
15496,33.12,-117.25,5.311
9010,34.08,-118.69,9.7646
11041,33.82,-117.81,10.8111
653,37.71,-122.13,3.5781
18003,37.27,-121.99,5.4051
10639,33.69,-117.79,6.5783
3234,36.11,-119.59,2.25
12684,38.55,-121.4,2.925
2726,32.79,-115.54,1.6607
1113,39.78,-121.59,1.4048
12962,38.72,-121.31,3.9506
8129,33.8,-118.17,3.5313
373,37.75,-122.16,2.5568
2099,36.76,-119.77,1.5174
8145,33.82,-118.1,4.8462
2993,35.3,-119.09,3.6852
6235,34.07,-117.96,4.6118
9734,36.82,-121.64,4.1696
1275,37.93,-121.7,4.6587
20354,34.18,-118.97,7.0242
4304,34.09,-118.3,1.4497
10422,33.41,-117.6,4.5476
5627,33.77,-118.27,1.5369
10089,33.94,-117.97,4.0893
2132,36.81,-119.71,2.0536
8960,34.01,-118.4,5.4035
16914,37.54,-122.36,10.1675
14873,32.62,-117.09,2.4866
18281,37.34,-122.08,10.5142
9701,36.67,-121.63,2.5263
20371,34.17,-118.9,5.3558
16555,37.81,-121.31,3.1429
11500,33.72,-118.04,4.0238
14447,32.81,-117.29,6.9553
12440,33.69,-116.18,2.375
862,37.58,-121.99,6.2073
18054,37.25,-121.97,7.9135
7889,33.87,-118.05,5.8855
10733,33.6,-117.86,6.6265
6670,34.16,-118.11,4.2065
1720,37.99,-122.33,3.911
6024,34.05,-117.76,2.3859
7020,33.97,-118.1,2.9922
11183,33.82,-117.94,3.4
19132,38.23,-122.7,3.5673
7585,33.9,-118.22,2.3542
638,37.72,-122.15,2.9097
15963,37.71,-122.44,3.9567
4132,34.13,-118.21,3.25
4622,34.07,-118.32,11.2185
566,37.76,-122.24,3.6719
10192,33.86,-117.94,2.1432
19458,37.66,-120.93,4.744
12228,33.74,-116.9,2.3712
6983,33.96,-118.02,4.5446
1305,38.0,-121.83,4.8359
12235,33.73,-116.95,3.2371
